session_id,timestamp,side,entry_price,exit_price,pnl,reason,entry_time,exit_time,max_pnl,mean_open_pnl,style,entry_reason
BACKTEST_20260116_052512,2026-01-16 05:25:26.790425,PUT,25915.75,25929.8,-14.050781,Time-Based Exit,2025-12-10 09:46:00,2025-12-10 10:16:00,37.59961,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:25:31.104087,PUT,25917.35,25834.0,83.34961,Target Hit,2025-12-10 10:46:00,2025-12-10 11:00:00,93.09961,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:25:39.488940,CALL,25845.5,25823.65,-21.85,SL Hit,2025-12-10 11:31:00,2025-12-10 11:54:00,7.3007812,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:26:24.899587,PUT,25829.1,25800.15,28.949219,Time-Based Exit,2025-12-11 10:46:00,2025-12-11 11:16:00,63.79883,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:26:30.689986,PUT,25829.25,25852.3,-23.050781,Time-Based Exit,2025-12-11 11:31:00,2025-12-11 12:01:00,13.150391,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:27:11.980834,CALL,25966.55,25970.85,4.298828,Target Hit,2025-12-12 10:46:00,2025-12-12 10:47:00,4.9492188,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:27:15.100293,CALL,25969.65,25970.75,1.0996094,Target Hit,2025-12-12 11:01:00,2025-12-12 11:02:00,5.9492188,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:27:34.757206,PUT,26018.8,26032.15,-13.349609,Time-Based Exit,2025-12-12 12:46:00,2025-12-12 13:16:00,6.6015625,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:27:40.571543,PUT,26034.2,26021.3,12.8984375,Time-Based Exit,2025-12-12 13:17:00,2025-12-12 13:47:00,20.75,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:28:17.414402,PUT,25970.7,25979.0,-8.300781,Time-Based Exit,2025-12-15 10:46:00,2025-12-15 11:16:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:28:22.582947,PUT,25978.15,25976.35,1.8007812,Time-Based Exit,2025-12-15 11:17:00,2025-12-15 11:47:00,15.099609,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:29:00.682431,CALL,25899.45,25895.3,-4.1484375,Target Hit,2025-12-16 10:01:00,2025-12-16 10:02:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:29:11.390323,CALL,25901.15,25899.35,-1.8007812,Time-Based Exit,2025-12-16 10:46:00,2025-12-16 11:16:00,8.449219,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:29:12.410530,CALL,25895.8,25896.1,0.29882812,Target Hit,2025-12-16 11:17:00,2025-12-16 11:18:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:29:19.194750,CALL,25903.75,25877.55,-26.199219,Time-Based Exit,2025-12-16 11:31:00,2025-12-16 12:01:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:29:27.329773,CALL,25903.7,25892.15,-11.548828,Time-Based Exit,2025-12-16 12:31:00,2025-12-16 13:01:00,4.4003906,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:29:34.880460,CALL,25889.4,25915.9,26.5,Time-Based Exit,2025-12-16 13:16:00,2025-12-16 13:46:00,34.25,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:31:00.356420,PUT,25739.75,25786.8,-47.05,SL Hit,2025-12-18 10:01:00,2025-12-18 10:12:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:31:14.079731,PUT,25829.8,25845.15,-15.349609,Time-Based Exit,2025-12-18 11:16:00,2025-12-18 11:46:00,4.9003906,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:32:01.729273,PUT,25976.0,25952.7,23.300781,Time-Based Exit,2025-12-19 10:46:00,2025-12-19 11:16:00,29.800781,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:33:37.283512,CALL,26127.65,26125.35,-2.3007812,Target Hit,2025-12-23 09:46:00,2025-12-23 09:47:00,11.548828,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:33:53.932835,PUT,26191.15,26170.0,21.15039,Time-Based Exit,2025-12-23 11:16:00,2025-12-23 11:46:00,23.25,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:34:02.007932,PUT,26189.05,26175.45,13.6015625,Time-Based Exit,2025-12-23 12:16:00,2025-12-23 12:46:00,21.951172,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:34:09.573479,PUT,26193.2,26192.1,1.0996094,Time-Based Exit,2025-12-23 13:01:00,2025-12-23 13:31:00,10.3984375,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:36:13.602932,CALL,26030.05,26035.3,5.25,Target Hit,2025-12-29 10:01:00,2025-12-29 10:02:00,4.298828,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:37:02.834185,PUT,25930.95,25951.75,-20.800781,Time-Based Exit,2025-12-30 09:46:00,2025-12-30 10:16:00,22.699219,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:37:11.743727,PUT,25931.45,25909.0,22.449219,Time-Based Exit,2025-12-30 11:01:00,2025-12-30 11:31:00,22.75,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:37:55.092140,CALL,25977.2,25981.2,4.0,SL Hit,2025-12-31 09:46:00,2025-12-31 09:47:00,2.8515625,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:38:07.453200,PUT,26041.1,26060.0,-18.90039,Time-Based Exit,2025-12-31 10:46:00,2025-12-31 11:16:00,10.25,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:38:12.934219,PUT,26043.5,26069.05,-25.550781,Time-Based Exit,2025-12-31 11:31:00,2025-12-31 12:01:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:39:23.403924,CALL,26154.15,26150.1,-4.0507812,SL Hit,2026-01-01 12:01:00,2026-01-01 12:02:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:39:37.026061,CALL,26157.15,26146.75,-10.400391,Time-Based Exit,2026-01-01 13:16:00,2026-01-01 13:46:00,8.298828,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:40:07.132128,PUT,26253.75,26243.0,10.75,Time-Based Exit,2026-01-02 10:01:00,2026-01-02 10:31:00,14.050781,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:40:13.573612,PUT,26255.7,26254.0,1.6992188,Time-Based Exit,2026-01-02 10:46:00,2026-01-02 11:16:00,9.798828,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:40:51.178675,CALL,26275.75,26283.05,7.3007812,Target Hit,2026-01-05 09:46:00,2026-01-05 09:47:00,3.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:41:08.448929,PUT,26353.55,26338.7,14.8515625,Time-Based Exit,2026-01-05 11:16:00,2026-01-05 11:46:00,36.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:41:55.198443,PUT,26211.6,26180.05,31.548828,Time-Based Exit,2026-01-06 10:46:00,2026-01-06 11:16:00,43.90039,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:42:47.506759,PUT,26161.25,26145.8,15.449219,Time-Based Exit,2026-01-07 11:01:00,2026-01-07 11:31:00,22.90039,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:43:02.950851,CALL,26099.55,26070.15,-29.40039,Time-Based Exit,2026-01-07 13:01:00,2026-01-07 13:31:00,11.298828,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:43:40.542941,CALL,26031.9,26004.85,-27.050781,Time-Based Exit,2026-01-08 10:46:00,2026-01-08 11:16:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:44:26.892381,PUT,25894.3,25878.4,15.900391,Time-Based Exit,2026-01-09 10:01:00,2026-01-09 10:31:00,39.851562,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:44:34.998786,CALL,25813.25,25810.55,-2.6992188,Time-Based Exit,2026-01-09 11:01:00,2026-01-09 11:31:00,6.4003906,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:44:36.016338,CALL,25816.9,25815.05,-1.8496094,Target Hit,2026-01-09 11:32:00,2026-01-09 11:33:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:45:30.007561,CALL,25496.95,25498.55,1.6015625,Time-Based Exit,2026-01-12 11:31:00,2026-01-12 12:01:00,12.150391,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:45:31.026037,CALL,25510.15,25513.9,3.75,Target Hit,2026-01-12 12:02:00,2026-01-12 12:03:00,0.0,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:46:10.696246,CALL,25715.25,25804.1,88.84961,Time-Based Exit,2026-01-13 10:01:00,2026-01-13 10:31:00,106.94922,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:46:27.878827,CALL,25721.1,25702.25,-18.84961,Time-Based Exit,2026-01-13 12:16:00,2026-01-13 12:46:00,11.5,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:47:08.656377,CALL,25665.6,25736.7,71.09961,Time-Based Exit,2026-01-14 10:46:00,2026-01-14 11:16:00,79.15039,0.0,,
BACKTEST_20260116_052512,2026-01-16 05:47:15.789879,PUT,25774.0,25785.8,-11.800781,Time-Based Exit,2026-01-14 11:31:00,2026-01-14 12:01:00,12.849609,0.0,,
