timestamp,entry_price,action,outcome,pnl,location,reason,wick_ratio,dist_to_level
2025-12-10 11:45:00,25836.30078125,BUY_CALL,SL,-22.771,MID,REMR Put Blocked: Missing Bearish Exhaustion Signature.,0.37,0
2025-12-10 12:00:00,25837.650390625,BUY_CALL,SL,-24.023999999999997,MID,REMR Put Blocked: Missing Bearish Exhaustion Signature.,0.14,0
2025-12-10 12:15:00,25833.30078125,BUY_CALL,SL,-26.809999999999995,MID,REMR Put Blocked: Missing Bearish Exhaustion Signature.,0.16,0
2025-12-11 10:00:00,25739.0,BUY_CALL,TP,97.80399999999999,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.87,0
2025-12-11 10:15:00,25813.05078125,BUY_CALL,TP,99.23199999999999,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.43,0
2025-12-11 11:15:00,25813.25,BUY_CALL,TP,103.082,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.65,0
2025-12-12 11:45:00,26011.099609375,BUY_CALL,EOD,31.900390625,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.28,0
2025-12-12 12:00:00,26021.599609375,BUY_CALL,EOD,21.400390625,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.4,0
2025-12-12 12:15:00,26014.599609375,BUY_CALL,EOD,28.400390625,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.02,0
2025-12-12 12:30:00,26033.0,BUY_CALL,EOD,10.0,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.64,0
2025-12-12 12:45:00,26014.150390625,BUY_CALL,EOD,28.849609375,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.26,0
2025-12-12 13:00:00,26025.19921875,BUY_CALL,EOD,17.80078125,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.17,0
2025-12-12 13:45:00,26030.30078125,BUY_CALL,EOD,12.69921875,MID,REMR Put Blocked: Missing Bearish Exhaustion Signature.,0.52,0
2025-12-15 11:00:00,25987.849609375,BUY_CALL,EOD,26.150390625,MID,Counter-Trend Signal Blocked (Attempted BUY_PUT during BULLISH Break),0.04,0
2025-12-15 11:45:00,25995.849609375,BUY_CALL,EOD,18.150390625,MID,REMR Blocked: Strict Rejection Criteria not met.,0.94,0
